Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
./training_dataset/IMG/robocam_2017_12_03_21_19_41_627.jpg;0;0;1;0;99.66998;85.58897;0.0002325676;51.37635;-2.057441E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_41_673.jpg;0;0;0;0;99.66998;85.58897;0.0002327037;51.37635;-2.71162E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_41_723.jpg;0;0;0;0;99.66998;85.58897;0.000232739;51.37635;-3.718779E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_41_773.jpg;0;0;0;0;99.66998;85.58897;0.0002330587;51.37635;-3.163545E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_41_825.jpg;0;0;0;0;99.66998;85.58897;0.0002332301;51.37635;-4.824949E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_41_875.jpg;0;0;0;0;99.66998;85.58897;0.0002332654;51.37635;-5.832109E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_41_925.jpg;0;0;0;0;99.66998;85.58897;0.0002333183;51.37635;-7.342913E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_41_975.jpg;0;0;0;0;99.66998;85.58897;0.0002333536;51.37635;-8.350074E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_42_025.jpg;0;0;0;0;99.66998;85.58897;0.0002334065;51.37635;-9.860813E-07
./training_dataset/IMG/robocam_2017_12_03_21_19_42_075.jpg;0;0;0;0;99.66998;85.58897;0.0002334418;51.37635;-1.086797E-06
./training_dataset/IMG/robocam_2017_12_03_21_19_42_125.jpg;0;0;0;0;99.66998;85.58897;0.0002334948;51.37635;-1.237871E-06
./training_dataset/IMG/robocam_2017_12_03_21_19_42_175.jpg;0;0;0;0;99.66998;85.58897;0.0002335301;51.37635;-1.338587E-06
./training_dataset/IMG/robocam_2017_12_03_21_19_42_225.jpg;0;0;0;0;99.66998;85.58897;0.000233583;51.37635;-1.489661E-06
./training_dataset/IMG/robocam_2017_12_03_21_19_42_275.jpg;0;0;0;0;99.66998;85.58897;0.0002336183;51.37635;-1.590384E-06
./training_dataset/IMG/robocam_2017_12_03_21_19_42_325.jpg;0;0;0;0;99.66998;85.58897;0.0002336712;51.37635;-1.741458E-06
./training_dataset/IMG/robocam_2017_12_03_21_19_42_376.jpg;0;0;0;0;99.66998;85.58897;0.0002337065;51.37635;-1.842174E-06
